series;n_weeks;mean_pct;median_pct;weeks_pos_pct;std_pp;boot_ci_lo;boot_ci_hi;boot_excl_0;p_sign_flip;p_permutation
GROSS (headline Step 3);338;0.5729;0.4131;52.7;6.942;-0.147;1.3401;0;0.1344;
NET комиссии+слиппедж (вся история);338;0.1729;0.0131;50.0;6.942;-0.5509;0.9413;0;0.6526;0.804
